Bagian,Eusi
Judul,Sanghyang Pangeling Buana — Runtuyan Status 7 Poé
Wanci,24 Juni 2026 nepika 30 Juni 2026
Pamakéan,"Bahan status WhatsApp / Instagram sareng bahan sebaran ka seniman, budayawan, sareng komunitas budaya Sunda."
Watesan pangucap,"Pangucap dina tabel ieu mangrupa pangucap anyar, sanés pangucap kuna; henteu meunang disebut doa/mantra/liturgi kuna."
Dasar tata Sanghyang Pangeling Buana,"Pituduh kalénder kudu dibaca ngaliwatan Kala Sunda, Wanci, Usum, Pangeling, Laku, Sumber, Watesan; pangucap suci teu meunang dipalsukeun lamun sumberna can kapanggih."
Sumber internal 1,"Sanghyang Pangeling Buana.pdf — protokol sumber, kalénder, pangucap, sarta watesan klaim."
Sumber internal 2,"Pustaka Hirup Protocol.pdf — sumber kudu dibédakeun: Pustaka Jero, Pustaka Luar, sumber pamaké, sumber can diverifikasi, jeung sumber kudu ditolak."
Sumber internal 3,"Lamun ngobrolkeun kalénder, poé, cuaca, usum, panén, bulan, ritual….pdf — format Wanci; Kala; Usum; Pangeling; Laku; Nu kudu dijaga; Nu kudu dihindari; Pangucap; Sumber; Watesan."
Sumber luar: SSKK,https://mow.anri.go.id/warisan-dokumenter/nasional/detail/naskah-sang-hyang-siksa-kandang-karesian
Sumber luar: SSKK transliterasi,https://su.wikisource.org/wiki/Sanghyang_Siksakandang_Karesian
Sumber luar: Amanat Galunggung,https://balaibahasajabar.kemendikdasmen.go.id/amanat-dari-galunggung/
Kategori sumber A,Sumber naskah langsung atawa arsip utama.
Kategori sumber C,Tafsir buku/jurnal/rujukan anu bisa dipariksa.
Kategori sumber E,"Susunan anyar / rekonstruksi kiwari: dipaké minangka pangeling, henteu meunang disebut kuna."
Catetan redaksi,Tanggal jeung mapping poé Masehi ieu dumasar kalénder 2026; tatangalan Sunda dipaké minangka pangeling saptawara. Pembagian laku per poé nyaéta susunan anyar jaman kiwari.
